app_id,age,employment_type,annual_income,loan_amount,loan_type,application_date,doc_complete_pct,doc_rework,aml_flag,kyc_days,credit_score,dti_ratio,past_default,risk_category,credit_days,collateral_type,property_value,ltv_ratio,legal_clearance,valuation_days,policy_deviation,fraud_flag,underwriting_days,officer_load,queue_position,reassigned,sanction_status,approved_amount,agreement_signed,insurance_done,agreement_days,disbursed,disbursement_days,total_tat,sla_breach,delay_risk
10033,47,Self-Employed,1320495,4258364,Personal,30-08-2024,95,0,0,3,688,0.34,0,Medium,4,None,0,0,NA,0,0,0,2,8,7,0,Approved,3675434,1,1,3,1,1,13,0,Medium
10034,34,Self-Employed,1207582,5982866,Business,21-02-2024,72,2,0,4,659,0.21,0,Medium,5,Property,8164139.946,0.73,Yes,6,0,0,2,25,16,1,Approved,4909046,1,1,1,1,2,22,1,High
10035,52,Salaried,2307872,8681926,Home,09-05-2024,90,0,0,1,760,0.4,0,Low,5,Property,11208680.79,0.77,Yes,4,0,0,2,8,18,0,Approved,8272909,1,1,3,1,1,16,0,Medium
10036,55,Self-Employed,1895421,7206500,Business,28-10-2024,87,0,0,3,411,0.44,1,High,1,Property,11352464.44,0.63,Yes,2,0,0,2,22,3,0,Rejected,0,0,0,0,0,0,10,0,Low
10037,32,Self-Employed,311222,1131002,Personal,29-05-2024,62,1,0,4,814,0.23,0,Low,2,None,0,0,NA,0,0,0,2,18,4,0,Approved,1027981,1,1,3,1,1,13,0,Medium
10038,39,Self-Employed,896582,2049263,Home,31-10-2024,96,0,0,3,829,0.48,0,Low,4,None,0,0,NA,0,1,0,5,19,3,0,Approved,1884517,1,1,2,1,2,17,0,Medium
10039,60,Salaried,1350119,2839920,Home,10-12-2024,77,3,0,4,529,0.39,1,High,4,None,0,0,NA,0,0,0,4,25,16,1,Rejected,0,0,0,0,0,0,14,0,Medium
10040,27,Self-Employed,2271366,7704119,Business,09-12-2024,66,1,0,4,857,0.32,0,Low,4,Property,11347362.55,0.68,Yes,4,0,0,4,21,1,0,Approved,7176633,1,1,3,1,2,23,1,High
10041,48,Self-Employed,527348,1450381,Business,16-11-2024,88,0,0,1,484,0.57,1,High,4,None,0,0,NA,0,1,0,3,27,6,1,Rejected,0,0,0,0,0,0,10,0,Low
10042,41,Salaried,357354,1504105,Home,28-02-2024,89,0,0,1,507,0.4,1,High,3,None,0,0,NA,0,0,0,4,20,8,0,Rejected,0,0,0,0,0,0,10,0,Low
10043,51,Salaried,906672,3204490,Personal,05-02-2024,77,2,0,5,869,0.31,0,Low,1,None,0,0,NA,0,0,0,4,9,15,0,Approved,2908767,1,1,2,1,2,14,0,Medium
10044,57,Salaried,1882133,7192342,Business,23-12-2024,75,3,0,7,770,0.22,0,Low,4,None,0,0,NA,0,0,0,2,20,2,0,Approved,5935474,1,1,3,1,2,20,1,High
10045,28,Salaried,2146778,5149791,Business,14-03-2024,86,0,0,2,621,0.34,0,Medium,4,Property,8811597.142,0.58,Yes,6,0,0,3,25,16,1,Approved,5018350,1,1,1,1,1,19,1,High
10046,37,Salaried,1505354,9016624,Personal,10-08-2024,66,3,0,4,656,0.56,0,Medium,1,None,0,0,NA,0,1,0,4,16,12,0,Approved,7989967,1,1,1,1,2,13,0,Medium
10047,58,Self-Employed,1055213,2827901,Home,13-11-2024,75,2,0,4,610,0.38,0,Medium,1,None,0,0,NA,0,0,0,2,7,15,0,Approved,2796927,1,1,3,1,2,12,0,Medium
10048,49,Salaried,1348987,5163036,Business,15-07-2024,90,0,0,1,717,0.43,0,Low,3,Property,9225140.748,0.56,Yes,4,0,1,1,24,16,1,Rejected,0,0,0,0,0,0,11,0,Low
10049,40,Salaried,1265186,5602572,Business,21-11-2024,72,3,0,6,490,0.45,1,High,1,None,0,0,NA,0,0,0,1,23,12,1,Rejected,0,0,0,0,0,0,10,0,Low
10050,30,Self-Employed,678046,3823169,Business,30-03-2024,72,1,0,4,629,0.53,0,Medium,3,None,0,0,NA,0,1,0,4,28,11,1,Approved,3673478,1,1,2,1,1,16,0,Medium
10051,31,Self-Employed,1246296,6780551,Personal,12-10-2024,83,1,1,5,899,0.25,0,Low,3,None,0,0,NA,0,0,0,3,8,8,0,Approved,6063815,1,1,3,1,2,16,0,Medium
10052,36,Self-Employed,565151,2566698,Business,28-11-2024,86,0,0,1,388,0.32,1,High,4,Property,3229715.105,0.79,Yes,3,0,0,3,26,18,1,Rejected,0,0,0,0,0,0,13,0,Medium
10053,48,Salaried,948116,5254131,Personal,07-09-2024,99,0,0,4,636,0.21,0,Medium,3,Property,7702712.89,0.68,Yes,4,0,0,3,22,12,0,Approved,4266932,1,1,2,1,1,19,1,High
10054,29,Salaried,2207222,5223818,Home,26-01-2024,81,1,0,3,560,0.23,0,High,5,Property,8106476.704,0.64,Yes,3,0,0,2,30,20,1,Rejected,0,0,0,0,0,0,16,0,Medium
10055,22,Salaried,1462974,7949251,Home,03-10-2024,76,1,0,2,376,0.25,1,High,3,Property,12347665.01,0.64,No,4,0,0,4,21,4,0,Rejected,0,0,0,0,0,0,15,0,Medium
10056,26,Salaried,2297520,8714725,Business,19-08-2024,92,0,0,2,394,0.49,1,High,5,None,0,0,NA,0,1,0,2,6,16,0,Rejected,0,0,0,0,0,0,9,0,Low
10057,47,Self-Employed,2087921,9905911,Business,07-02-2024,65,2,0,4,631,0.45,0,Medium,5,None,0,0,NA,0,0,0,3,19,17,0,Approved,9124189,1,1,1,1,1,15,0,Medium
10058,57,Self-Employed,1201872,4471300,Home,22-06-2024,89,0,0,4,447,0.33,1,High,3,None,0,0,NA,0,0,0,2,26,16,1,Rejected,0,0,0,0,0,0,11,0,Low
10059,26,Self-Employed,682624,3636397,Home,19-02-2024,83,1,0,2,687,0.47,0,Medium,4,None,0,0,NA,0,1,0,5,28,2,1,Approved,3613413,1,1,3,1,2,18,0,High
10060,44,Salaried,734532,3167062,Home,02-12-2024,90,0,0,2,708,0.54,0,Low,3,Property,5249605.991,0.6,Yes,5,1,0,2,24,9,1,Approved,2551988,1,1,2,1,2,18,0,High
10061,43,Self-Employed,1772298,3587881,Home,05-02-2024,69,3,0,4,893,0.29,0,Low,4,None,0,0,NA,0,0,0,3,14,11,0,Approved,3427743,1,1,3,1,1,16,0,Medium
10062,25,Salaried,952549,2504860,Personal,11-12-2024,65,2,0,6,847,0.44,0,Low,4,None,0,0,NA,0,0,0,1,16,14,0,Approved,2059440,1,1,3,1,2,17,0,Medium
10063,55,Salaried,1593604,3476717,Business,04-01-2024,73,2,0,4,611,0.32,0,Medium,1,Property,5209621.217,0.67,Yes,3,0,0,2,21,18,0,Approved,3360840,1,1,2,1,1,15,0,Medium
10064,47,Salaried,477428,1787909,Business,09-06-2024,96,0,0,4,777,0.32,0,Low,4,Property,3181977.074,0.56,Yes,6,0,0,3,7,14,0,Approved,1732299,1,1,1,1,2,20,1,High
10065,59,Self-Employed,1979608,8108177,Business,22-06-2024,74,2,0,4,466,0.41,1,High,2,None,0,0,NA,0,0,0,2,12,4,0,Rejected,0,0,0,0,0,0,9,0,Low
10066,31,Salaried,1373608,3831112,Personal,01-12-2024,64,1,0,5,809,0.47,0,Low,5,None,0,0,NA,0,1,0,4,9,15,0,Approved,3117212,1,1,2,1,2,18,0,High
10067,39,Self-Employed,535602,1825207,Home,24-08-2024,88,0,0,1,643,0.23,0,Medium,1,None,0,0,NA,0,0,0,1,19,19,0,Approved,1698113,1,1,2,1,2,8,0,Low
10068,54,Salaried,932757,5438802,Business,24-06-2024,65,3,1,5,798,0.6,0,Low,5,Property,7714063.771,0.71,Yes,5,1,0,4,26,20,1,Approved,4408002,1,1,3,1,2,26,1,High
10069,26,Self-Employed,1682823,4001793,Personal,25-05-2024,76,3,0,5,494,0.57,1,High,3,None,0,0,NA,0,1,0,2,14,18,0,Rejected,0,0,0,0,0,0,11,0,Low
10070,46,Salaried,1677730,8812678,Personal,26-11-2024,87,0,1,3,666,0.27,0,Medium,2,None,0,0,NA,0,0,0,4,11,8,0,Approved,8812636,1,1,1,1,1,12,0,Medium
10071,40,Salaried,724215,2919136,Personal,04-12-2024,81,3,0,5,507,0.26,1,High,5,Property,4766101.951,0.61,No,4,0,0,2,19,20,0,Rejected,0,0,0,0,0,0,17,0,Medium
10072,40,Self-Employed,2182940,6409137,Home,28-08-2024,72,2,0,6,638,0.51,0,Medium,5,None,0,0,NA,0,1,0,3,30,20,1,Approved,5304712,1,1,2,1,1,20,1,High
10073,52,Salaried,1856976,7833027,Home,25-05-2024,65,1,0,4,875,0.26,0,Low,4,Property,13847600.79,0.57,Yes,5,0,0,1,18,2,0,Approved,6887508,1,1,2,1,1,18,0,High
10074,46,Self-Employed,642278,2247748,Home,20-02-2024,81,1,1,3,833,0.48,0,Low,2,None,0,0,NA,0,1,0,2,7,1,0,Approved,1913248,1,1,1,1,2,10,0,Low
10075,29,Salaried,1508385,4450581,Home,02-05-2024,86,0,0,4,861,0.44,0,Low,1,Property,7259461.04,0.61,Yes,2,0,0,2,23,14,1,Approved,3727195,1,1,3,1,1,15,0,Medium
10076,55,Salaried,1812481,4115631,Personal,18-07-2024,90,0,0,1,732,0.3,0,Low,1,None,0,0,NA,0,0,0,3,12,4,0,Approved,3927547,1,1,3,1,2,11,0,Low
10077,30,Salaried,485957,1656722,Business,16-12-2024,89,0,0,4,488,0.23,1,High,4,Property,2279758.058,0.73,No,3,0,0,3,14,17,0,Rejected,0,0,0,0,0,0,15,0,Medium
10078,47,Salaried,2285582,6887041,Personal,26-05-2024,82,1,0,4,726,0.37,0,Low,4,None,0,0,NA,0,0,0,4,15,6,0,Approved,6193107,1,1,2,1,2,17,0,Medium
10079,55,Self-Employed,1418707,7383791,Personal,10-02-2024,87,0,0,2,678,0.24,0,Medium,3,None,0,0,NA,0,0,0,4,10,15,0,Approved,6426182,1,1,1,1,2,13,0,Medium
10080,49,Salaried,1451568,6616068,Home,09-12-2024,100,0,0,4,513,0.58,1,High,2,None,0,0,NA,0,1,0,2,12,12,0,Rejected,0,0,0,0,0,0,9,0,Low
10081,45,Salaried,1905807,11049618,Home,13-12-2024,88,0,0,3,428,0.43,1,High,5,None,0,0,NA,0,0,0,3,12,4,0,Rejected,0,0,0,0,0,0,12,0,Medium
10082,23,Salaried,1080342,4317236,Business,14-05-2024,76,3,0,7,642,0.48,0,Medium,4,Property,5498356.016,0.79,Yes,5,1,0,5,7,11,0,Approved,4030433,1,1,3,1,1,25,1,High
10083,57,Salaried,1517867,8447425,Home,04-07-2024,92,0,0,2,555,0.52,0,High,2,None,0,0,NA,0,1,1,4,19,18,0,Rejected,0,0,0,0,0,0,9,0,Low
10084,30,Self-Employed,661613,1497225,Business,26-09-2024,86,0,0,4,425,0.25,1,High,3,Property,2200897.839,0.68,Yes,4,0,0,2,29,5,1,Rejected,0,0,0,0,0,0,15,0,Medium
10085,49,Salaried,2409163,13594543,Home,22-09-2024,69,2,0,4,580,0.34,0,High,5,None,0,0,NA,0,0,0,3,11,18,0,Rejected,0,0,0,0,0,0,13,0,Medium
10086,39,Salaried,825002,3712582,Personal,14-09-2024,70,3,0,5,695,0.54,0,Medium,5,Property,6293352.787,0.59,No,2,1,0,4,25,7,1,Approved,3539545,1,1,2,1,1,21,1,High
10087,53,Self-Employed,1514970,6919821,Business,05-05-2024,85,2,0,6,411,0.26,1,High,4,None,0,0,NA,0,0,0,3,24,5,1,Rejected,0,0,0,0,0,0,15,0,Medium
10088,42,Self-Employed,1639310,8092944,Business,07-03-2024,83,3,0,4,827,0.25,0,Low,4,Property,10395601.69,0.78,No,5,0,0,4,12,6,0,Approved,7791041,1,1,3,1,2,23,1,High
10089,34,Self-Employed,968330,3866601,Personal,12-09-2024,79,2,0,3,752,0.4,0,Low,2,Property,5993256.556,0.65,No,4,0,0,4,14,18,0,Approved,3099604,1,1,1,1,2,17,0,Medium
10090,30,Self-Employed,1409279,6919605,Business,24-01-2024,85,1,0,3,645,0.23,0,Medium,5,None,0,0,NA,0,0,0,3,24,20,1,Approved,5700109,1,1,1,1,2,16,0,Medium
10091,45,Salaried,1722226,7287301,Business,11-04-2024,98,0,0,4,396,0.22,1,High,3,None,0,0,NA,0,0,0,2,24,17,1,Rejected,0,0,0,0,0,0,11,0,Low
10092,30,Salaried,1675588,9593537,Business,20-07-2024,99,0,0,3,869,0.53,0,Low,5,None,0,0,NA,0,1,0,4,20,1,0,Approved,8381600,1,1,3,1,1,18,0,High
10093,48,Salaried,1590494,8249923,Personal,01-11-2024,90,0,0,3,583,0.49,0,High,5,None,0,0,NA,0,1,0,5,9,8,0,Rejected,0,0,0,0,0,0,13,0,Medium
10094,24,Self-Employed,760935,2102567,Business,02-08-2024,69,2,0,4,832,0.55,0,Low,1,Property,3177420.122,0.66,Yes,5,1,0,4,10,15,0,Approved,2065614,1,1,2,1,2,19,1,High
10095,38,Self-Employed,2330798,6454111,Home,12-10-2024,79,1,0,4,562,0.48,0,High,4,None,0,0,NA,0,1,0,4,14,4,0,Rejected,0,0,0,0,0,0,13,0,Medium
10096,58,Self-Employed,1892552,10566197,Business,15-03-2024,78,1,0,4,430,0.34,1,High,4,None,0,0,NA,0,0,0,2,11,18,0,Rejected,0,0,0,0,0,0,11,0,Low
10097,39,Salaried,1439263,3668813,Personal,04-05-2024,63,3,0,5,403,0.24,1,High,3,None,0,0,NA,0,0,0,2,5,18,0,Rejected,0,0,0,0,0,0,10,0,Low
10098,32,Self-Employed,2006693,9254007,Business,29-11-2024,72,2,0,5,410,0.56,1,High,1,Property,14076190.15,0.66,Yes,2,1,0,3,18,6,0,Rejected,0,0,0,0,0,0,12,0,Medium
10099,24,Self-Employed,1965115,10123963,Home,20-01-2024,60,2,0,3,693,0.31,0,Medium,5,None,0,0,NA,0,0,0,2,21,15,0,Approved,8651608,1,1,1,1,2,15,0,Medium
10100,32,Salaried,2224826,10218940,Personal,08-01-2024,81,2,0,4,765,0.53,0,Low,5,None,0,0,NA,0,1,0,2,10,5,0,Approved,9150966,1,1,1,1,1,14,0,Medium
10101,38,Self-Employed,1908827,5615931,Business,03-06-2024,97,0,0,1,718,0.48,0,Low,1,Property,8307292.894,0.68,Yes,6,1,0,4,27,4,1,Approved,5210136,1,1,2,1,2,18,0,High
10102,36,Salaried,1219091,7106620,Business,20-08-2024,98,0,0,3,832,0.5,0,Low,2,Property,11428902.9,0.62,Yes,2,1,0,4,7,19,0,Approved,5844781,1,1,3,1,1,15,0,Medium
10103,58,Self-Employed,928526,2468160,Personal,29-02-2024,73,3,0,7,872,0.38,0,Low,1,None,0,0,NA,0,0,0,4,19,19,0,Approved,2003028,1,1,2,1,2,17,0,Medium
10104,23,Salaried,1960729,5917144,Home,23-10-2024,64,1,0,5,415,0.42,1,High,1,Property,10601642.46,0.56,Yes,4,0,0,2,29,14,1,Rejected,0,0,0,0,0,0,14,0,Medium
10105,45,Self-Employed,1904235,7224950,Business,11-02-2024,94,0,0,2,706,0.25,0,Low,5,None,0,0,NA,0,0,0,2,5,1,0,Approved,7193869,1,1,2,1,2,13,0,Medium
10106,56,Self-Employed,1890800,10008839,Home,26-06-2024,69,2,0,4,465,0.21,1,High,4,Property,13455880.91,0.74,No,6,0,0,1,12,2,0,Rejected,0,0,0,0,0,0,16,0,Medium
10107,47,Salaried,2141143,6289301,Home,12-03-2024,92,0,0,3,676,0.43,0,Medium,3,Property,8685893.618,0.72,Yes,6,0,0,3,13,2,0,Approved,5731714,1,1,3,1,1,20,1,High
10108,49,Self-Employed,2378784,5203676,Business,25-09-2024,80,3,0,7,657,0.35,0,Medium,5,None,0,0,NA,0,0,0,2,14,5,0,Approved,5001540,1,1,1,1,2,18,0,High
10109,48,Salaried,862425,3064779,Business,18-06-2024,65,2,0,5,545,0.22,1,High,4,Property,5284206.981,0.58,Yes,6,0,0,2,20,7,0,Rejected,0,0,0,0,0,0,19,1,High
10110,43,Salaried,1571662,9159770,Home,07-04-2024,67,3,0,7,559,0.36,0,High,2,None,0,0,NA,0,0,0,4,19,18,0,Rejected,0,0,0,0,0,0,14,0,Medium
10111,44,Self-Employed,1593616,4854547,Personal,26-08-2024,66,3,0,7,677,0.57,0,Medium,3,None,0,0,NA,0,1,0,3,28,5,1,Approved,3899385,1,1,3,1,2,20,1,High
10112,40,Self-Employed,939259,2615617,Home,18-10-2024,75,2,0,5,850,0.59,0,Low,4,None,0,0,NA,0,1,0,4,10,5,0,Approved,2469306,1,1,2,1,1,17,0,Medium
10113,56,Salaried,546340,2237687,Home,04-01-2024,86,0,0,2,586,0.23,0,High,2,Property,2978880.101,0.75,Yes,2,0,0,4,26,16,1,Rejected,0,0,0,0,0,0,12,0,Medium
10114,23,Salaried,327734,1353164,Business,09-01-2024,93,0,0,3,643,0.21,0,Medium,4,Property,1710683.267,0.79,No,3,0,0,3,16,9,0,Approved,1297667,1,1,1,1,2,17,0,Medium
10115,47,Salaried,2225176,9479269,Personal,02-06-2024,65,3,0,4,738,0.35,0,Low,4,Property,14996666.58,0.63,Yes,2,0,0,4,25,11,1,Approved,8656196,1,1,1,1,1,18,0,High
10116,36,Self-Employed,1186747,6651825,Personal,18-05-2024,62,1,0,4,383,0.27,1,High,3,Property,11819504.88,0.56,Yes,5,0,0,3,10,19,0,Rejected,0,0,0,0,0,0,16,0,Medium
10117,37,Self-Employed,1932241,9097260,Personal,15-07-2024,68,3,0,4,704,0.22,0,Low,4,Property,15494496.85,0.59,Yes,6,0,0,4,29,11,1,Approved,7331710,1,1,2,1,2,24,1,High
10118,53,Self-Employed,1256881,4302611,Business,05-04-2024,97,0,0,4,652,0.52,0,Medium,1,Property,5854920.845,0.73,Yes,3,1,0,4,16,4,0,Approved,3520844,1,1,2,1,2,17,0,Medium
10119,45,Salaried,1431482,3448333,Home,08-08-2024,88,0,0,4,441,0.34,1,High,1,None,0,0,NA,0,0,0,1,14,14,0,Rejected,0,0,0,0,0,0,7,0,Low
10120,46,Salaried,655255,3210340,Personal,19-10-2024,93,0,0,2,523,0.26,1,High,3,None,0,0,NA,0,0,0,1,10,14,0,Rejected,0,0,0,0,0,0,7,0,Low
10121,39,Self-Employed,2066231,6609891,Home,08-05-2024,75,3,0,7,550,0.38,0,High,2,None,0,0,NA,0,0,1,4,15,20,0,Rejected,0,0,0,0,0,0,14,0,Medium
10122,46,Salaried,1682198,6326564,Business,02-06-2024,80,3,0,5,531,0.59,1,High,3,None,0,0,NA,0,1,0,5,23,8,1,Rejected,0,0,0,0,0,0,15,0,Medium
10123,42,Self-Employed,1877290,5859398,Business,28-02-2024,96,0,0,2,534,0.47,1,High,5,Property,10381697.59,0.56,Yes,3,1,0,4,27,3,1,Rejected,0,0,0,0,0,0,16,0,Medium
10124,48,Salaried,2394229,6121364,Business,09-05-2024,69,3,0,7,425,0.38,1,High,5,None,0,0,NA,0,0,0,4,22,2,0,Rejected,0,0,0,0,0,0,18,0,High
10125,45,Self-Employed,656440,1600057,Home,26-03-2024,99,0,0,1,759,0.59,0,Low,3,None,0,0,NA,0,1,0,2,13,8,0,Approved,1443467,1,1,3,1,1,11,0,Low
10126,50,Salaried,1869171,6662728,Personal,25-06-2024,61,2,0,3,437,0.25,1,High,2,None,0,0,NA,0,0,0,4,30,7,1,Rejected,0,0,0,0,0,0,12,0,Medium
10127,55,Self-Employed,2325538,7891018,Home,22-12-2024,88,0,0,3,395,0.52,1,High,1,Property,13489758.44,0.58,Yes,3,1,0,3,21,6,0,Rejected,0,0,0,0,0,0,12,0,Medium
10128,57,Self-Employed,971657,3229747,Business,28-04-2024,85,3,0,5,792,0.36,0,Low,5,Property,4746904.527,0.68,Yes,2,0,0,2,13,3,0,Approved,2956735,1,1,3,1,1,19,1,High
10129,45,Self-Employed,1667279,4648869,Home,09-12-2024,91,0,0,3,751,0.43,0,Low,3,None,0,0,NA,0,0,0,2,26,10,1,Approved,4573262,1,1,3,1,1,14,0,Medium
10130,30,Salaried,1613596,3987916,Business,03-04-2024,83,3,0,5,778,0.44,0,Low,5,None,0,0,NA,0,0,0,4,25,18,1,Approved,3743403,1,1,3,1,1,20,1,High
10131,57,Salaried,999884,3958108,Home,10-06-2024,88,0,0,1,359,0.39,1,High,2,None,0,0,NA,0,0,0,4,18,16,0,Rejected,0,0,0,0,0,0,8,0,Low
10132,48,Salaried,2161649,8548885,Home,22-04-2024,78,1,0,4,645,0.27,0,Medium,4,None,0,0,NA,0,0,0,1,23,4,1,Approved,7297138,1,1,3,1,2,16,0,Medium
10133,56,Salaried,474527,2391623,Business,05-08-2024,66,3,0,5,383,0.38,1,High,3,Property,3500001.408,0.68,Yes,3,0,0,3,27,20,1,Rejected,0,0,0,0,0,0,16,0,Medium
